date,expName,expStart,frameRate,instruction_keys.started,instructions.started,instructions_message.started,notes,participant,psychopyVersion,thisRow.t,welcome.started,welcome.stopped,welcome_message.started,
2025-03-02_21h30.53.152,mt_stimuli_recording,2025-03-02 21h30.59.414618 +0100,59.891213599220315,,,,,4,2024.2.4,,0.0031362000008812174,1.5076888000039617,0.017281299995374866,
,,,,1.523123699997086,1.5077318999974523,1.523123699997086,,,,,,,,
