f0_tab_normal,f0_tab_pitched,filename_tab
132.28114391519512,117.55719381820026,recording_mic_input_2025-03-01_14h01_43_119
126.83458226897918,105.93827095002227,recording_mic_input_2025-03-01_14h01_48_974
131.89309375730224,118.03259939391714,recording_mic_input_2025-03-01_14h01_55_334
130.2544390420821,115.50523250140414,recording_mic_input_2025-03-01_14h02_01_726
122.34036724413129,108.67478151313917,recording_mic_input_2025-03-01_14h02_08_121
122.34036724413129,108.67329175277504,recording_mic_input_2025-03-01_14h02_08_12X
200.00810591978671,178.2250812721616,sine_wave_200Hz
